,Map,Round_ID,Round_Number,Player_ID,Agent_ID,Round_Score,Weapon_ID,Armor_ID,Remaining_Credits,Spent_Credits,Loadout_Value,Survived,kast
0,Bind,2577042,1,763,2,152,12,,100,700,700,False,True
1,Bind,2577042,1,1012,6,679,12,,100,700,700,True,True
2,Bind,2577042,1,1023,21,215,12,,0,800,800,True,True
3,Bind,2577042,1,1802,8,219,12,,100,700,800,False,True
4,Bind,2577042,1,1597,19,51,12,,100,700,700,False,True
5,Bind,2577042,1,4509,2,45,12,,100,700,700,False,False
6,Bind,2577042,1,1091,13,168,11,1.0,0,800,1050,False,True
7,Bind,2577042,1,3599,6,173,11,1.0,0,800,600,False,True
8,Bind,2577042,1,11412,21,87,12,,0,800,800,False,False
9,Bind,2577042,1,1804,8,379,11,1.0,0,800,900,False,True
10,Bind,2577043,2,763,2,79,19,2.0,600,2800,2800,False,True
11,Bind,2577043,2,1012,6,181,5,2.0,350,3650,4150,True,True
12,Bind,2577043,2,1023,21,30,12,1.0,500,950,1450,False,True
13,Bind,2577043,2,1802,8,74,4,1.0,100,3500,3600,False,False
14,Bind,2577043,2,1597,19,833,5,2.0,1700,3750,3750,True,True
15,Bind,2577043,2,4509,2,190,11,,1600,400,400,False,True
16,Bind,2577043,2,1091,13,78,11,,2100,0,250,False,True
17,Bind,2577043,2,3599,6,192,14,,1800,300,300,False,True
18,Bind,2577043,2,11412,21,110,11,,1650,250,550,False,False
19,Bind,2577043,2,1804,8,348,11,,2000,100,200,False,True
20,Bind,2577044,3,763,2,35,6,2.0,0,3900,4600,False,True
21,Bind,2577044,3,1012,6,289,5,2.0,350,600,3950,False,True
22,Bind,2577044,3,1023,21,260,4,2.0,2250,4450,4450,False,True
23,Bind,2577044,3,1802,8,80,4,2.0,1950,1450,4450,False,False
24,Bind,2577044,3,1597,19,265,4,2.0,1450,4350,4600,False,True
25,Bind,2577044,3,4509,2,846,6,2.0,100,4100,4100,True,True
26,Bind,2577044,3,1091,13,25,4,2.0,50,4450,4700,True,True
27,Bind,2577044,3,3599,6,40,4,2.0,100,4300,4300,False,False
28,Bind,2577044,3,11412,21,205,4,1.0,750,3300,3850,False,True
29,Bind,2577044,3,1804,8,340,4,2.0,50,4550,4650,False,True
30,Bind,2577045,4,763,2,20,13,,1400,800,800,False,False
31,Bind,2577045,4,1012,6,0,13,,1350,1400,1400,False,False
32,Bind,2577045,4,1023,21,65,16,1.0,1450,3200,3200,False,False
33,Bind,2577045,4,1802,8,65,16,1.0,1300,2850,3200,False,False
34,Bind,2577045,4,1597,19,23,5,1.0,1400,2450,2700,False,False
35,Bind,2577045,4,4509,2,249,6,1.0,100,900,4000,True,True
36,Bind,2577045,4,1091,13,497,4,2.0,300,700,4850,True,True
37,Bind,2577045,4,3599,6,494,5,2.0,1500,3650,3650,True,True
38,Bind,2577045,4,11412,21,33,4,1.0,200,3550,3850,True,True
39,Bind,2577045,4,1804,8,0,4,2.0,2150,4000,4650,True,True
40,Bind,2577046,5,763,2,540,6,1.0,0,3800,3800,False,True
41,Bind,2577046,5,1012,6,175,6,1.0,250,3500,3900,True,True
42,Bind,2577046,5,1023,21,40,4,1.0,0,3850,3850,False,False
43,Bind,2577046,5,1802,8,120,4,1.0,0,3700,4050,False,True
44,Bind,2577046,5,1597,19,500,4,1.0,50,3750,3750,True,True
45,Bind,2577046,5,4509,2,274,6,2.0,2300,1000,4600,False,True
46,Bind,2577046,5,1091,13,0,4,2.0,2150,1550,5650,False,False
47,Bind,2577046,5,3599,6,287,16,2.0,3300,1600,3850,False,True
48,Bind,2577046,5,11412,21,277,4,1.0,2950,250,3850,False,True
49,Bind,2577046,5,1804,8,0,4,2.0,4950,200,4650,False,False
50,Bind,2577047,6,763,2,300,19,2.0,900,2800,2800,False,True
51,Bind,2577047,6,1012,6,0,6,1.0,50,800,3700,False,False
52,Bind,2577047,6,1023,21,0,4,2.0,1750,4450,4450,False,False
53,Bind,2577047,6,1802,8,0,16,1.0,200,3100,3400,False,False
54,Bind,2577047,6,1597,19,280,4,2.0,1750,2000,4900,False,True
55,Bind,2577047,6,4509,2,97,6,2.0,100,4300,4600,False,True
56,Bind,2577047,6,1091,13,759,4,1.0,200,3850,4250,True,True
57,Bind,2577047,6,3599,6,426,4,2.0,900,4500,4500,True,True
58,Bind,2577047,6,11412,21,115,4,2.0,600,4450,4450,True,True
59,Bind,2577047,6,1804,8,0,4,2.0,2950,3900,4650,False,False
60,Bind,2577048,7,763,2,220,13,,2200,1100,1100,False,True
61,Bind,2577048,7,1012,6,0,11,,1850,400,400,False,False
62,Bind,2577048,7,1023,21,110,13,1.0,2200,1750,1750,False,True
63,Bind,2577048,7,1802,8,0,12,,1700,700,1250,False,True
64,Bind,2577048,7,1597,19,224,5,1.0,1500,2650,2650,False,True
65,Bind,2577048,7,4509,2,0,6,2.0,1700,4300,4600,True,True
66,Bind,2577048,7,1091,13,40,4,1.0,3250,550,4250,False,True
67,Bind,2577048,7,3599,6,1015,4,2.0,800,600,4500,False,True
68,Bind,2577048,7,11412,21,195,4,2.0,3050,550,4450,True,True
69,Bind,2577048,7,1804,8,0,4,2.0,1950,4000,4650,True,True
70,Bind,2577049,8,763,2,20,6,2.0,500,4300,4600,False,False
